EdgeID,from_id,to_id,Timestamp,Amount Sent,Sent Currency,Amount Received,Received Currency,Payment Format,Is Laundering
0,6,6,310.0,56199.43,2,56199.43,2,0,0
1,1,1,1570.0,76080.89,0,76080.89,0,0,0
2,0,14,3670.0,39145.53,0,39145.53,0,1,0
3,16,16,7690.0,286.03,0,286.03,0,0,0
4,26,24,45610.0,3835.2,4,3835.2,4,1,0
5,3,14,50950.0,2745.56,0,2745.56,0,1,0
6,3,14,51850.0,1737.84,0,1737.84,0,2,0
7,28,0,52090.0,0.01,0,0.01,0,4,0
8,10,11,55210.0,243506.2,6,243506.2,6,1,0
9,5,9,64150.0,34.36,2,34.36,2,1,0
10,5,9,64690.0,10.23,2,10.23,2,2,0
11,6,9,71950.0,5603.65,2,5603.65,2,3,0
12,26,26,84850.0,53.76,4,53.76,4,0,0
13,33,0,86590.0,186.55,0,186.55,0,4,0
14,41,0,88630.0,102.99,0,102.99,0,4,0
15,39,0,88870.0,680.91,0,680.91,0,4,0
16,37,0,89410.0,311.9,0,311.9,0,4,0
17,38,0,89530.0,189.12,0,189.12,0,4,0
18,47,0,90190.0,91.53,0,91.53,0,4,0
19,44,0,90610.0,373.85,0,373.85,0,4,0
20,45,0,91450.0,453.49,0,453.49,0,4,0
21,53,0,91930.0,450.97,0,450.97,0,4,0
22,54,0,92230.0,497.82,0,497.82,0,4,0
23,52,0,93070.0,189.47,0,189.47,0,4,0
24,55,0,94030.0,343.95,0,343.95,0,4,0
25,30,0,94210.0,620.34,0,620.34,0,4,0
26,59,0,95470.0,132.74,0,132.74,0,4,0
27,57,0,95890.0,145.19,0,145.19,0,4,0
28,56,0,97030.0,242.05,0,242.05,0,4,0
29,67,0,97450.0,115.61,0,115.61,0,4,0
30,62,0,97810.0,182.64,0,182.64,0,4,0
31,69,13,98110.0,34.45,11,34.45,11,4,0
32,60,0,98110.0,425.66,0,425.66,0,4,0
33,66,0,98290.0,637.83,0,637.83,0,4,0
34,64,0,98410.0,256.19,0,256.19,0,4,0
35,68,0,98470.0,283.02,0,283.02,0,4,0
36,27,0,99310.0,1599.67,0,1599.67,0,4,0
