EdgeID,from_id,to_id,Timestamp,Amount Sent,Sent Currency,Amount Received,Received Currency,Payment Format,Is Laundering
0,30,30,130.0,387094.13,1,387094.13,1,0,0
1,31,31,250.0,117627.63,1,117627.63,1,0,0
2,23,23,310.0,6.57,1,6.57,1,0,0
3,40,40,370.0,2435158.53,5,2435158.53,5,0,0
4,33,33,850.0,8.04,1,8.04,1,0,0
5,27,27,850.0,13.19,1,13.19,1,0,0
6,13,13,1210.0,3.08,0,3.08,0,0,0
7,32,32,1210.0,20523.98,1,20523.98,1,0,0
8,27,27,1210.0,19560.65,1,19560.65,1,0,0
9,10,10,1270.0,277082.61,0,277082.61,0,0,0
10,6,6,1450.0,2253.98,0,2253.98,0,0,0
11,8,8,1630.0,366222.92,0,366222.92,0,0,0
12,45,45,1810.0,7.87,1,7.87,1,0,0
13,43,43,2110.0,3.61,0,3.61,0,0,0
14,52,52,5470.0,16.71,1,16.71,1,0,0
15,53,53,12250.0,16.76,1,16.76,1,0,0
16,55,55,13990.0,40044.92,1,40044.92,1,0,0
17,56,56,14650.0,11.47,0,11.47,0,0,0
18,14,54,20890.0,124.6,0,124.6,0,1,0
19,17,17,23830.0,40208.59,0,40208.59,0,0,0
20,60,60,25870.0,20.73,0,20.73,0,0,0
21,17,9,26770.0,997.4,0,997.4,0,1,0
22,17,9,26770.0,936.83,0,936.83,0,2,0
23,50,50,26950.0,8.32,0,8.32,0,0,0
24,0,61,28150.0,38884.14,0,38884.14,0,1,0
25,39,39,30190.0,272798.23,5,272798.23,5,0,0
26,62,62,30490.0,3038.66,1,3038.66,1,0,0
27,22,22,32770.0,669.48,1,669.48,1,0,0
28,3,3,33070.0,78.1,0,66.65,1,3,0
29,3,3,33790.0,120.12,0,102.51,1,3,0
30,14,14,34210.0,11.56,0,11.56,0,0,0
31,14,14,34570.0,8560.3,0,57333.48,5,3,0
32,63,63,41770.0,1279.14,0,1279.14,0,0,0
33,6,61,45010.0,111.88,0,111.88,0,1,0
34,9,9,46090.0,310.48,0,409.61,6,3,0
35,19,20,53050.0,518.59,1,518.59,1,5,0
36,15,42,59410.0,357414.85,9,357414.85,9,3,1
37,31,34,60010.0,2736.65,1,2736.65,1,1,0
38,20,29,63550.0,2.34,1,2.34,1,2,0
39,46,46,64090.0,20130.18,5,20130.18,5,0,0
40,18,18,64510.0,3309.36,1,3309.36,1,2,0
41,19,34,69550.0,398494.76,1,398494.76,1,5,0
42,15,15,69790.0,8222.46,0,8222.46,0,0,0
43,43,43,83650.0,324699.74,0,324699.74,0,0,0
44,20,20,84490.0,30529337.37,1,30529337.37,1,0,0
45,18,18,84490.0,18.83,1,18.83,1,0,0
46,18,18,86770.0,752.39,1,752.39,1,4,0
47,18,18,86770.0,3629.99,1,3629.99,1,1,0
48,39,39,106330.0,661.58,5,661.58,5,1,0
49,26,29,113710.0,1961.34,1,1961.34,1,1,0
50,6,61,116710.0,468.34,0,468.34,0,5,0
51,14,54,123190.0,124.6,0,124.6,0,1,0
52,9,9,123670.0,282.78,0,373.08,6,3,0
53,0,47,127330.0,404.33,0,404.33,0,2,0
54,19,20,133210.0,518.59,1,518.59,1,5,0
