EdgeID,from_id,to_id,Timestamp,Amount Sent,Sent Currency,Amount Received,Received Currency,Payment Format,Is Laundering
0,4,4,790.0,29.2,0,29.2,0,0,0
1,1,1,8590.0,6.38,0,6.38,0,0,0
2,9,35,21670.0,2849.99,5,2849.99,5,4,0
3,9,35,23230.0,3079.55,5,3079.55,5,2,0
4,14,27,25450.0,112880.41,10,112880.41,10,1,0
5,8,8,42310.0,350287.22,5,52300.41,0,3,0
6,6,38,43270.0,177.68,1,177.68,1,2,0
7,6,34,54310.0,12.05,1,12.05,1,2,0
8,6,34,54670.0,183.18,1,183.18,1,1,0
9,41,41,55750.0,1038306.54,10,1038306.54,10,0,0
10,13,13,61570.0,172.54,10,172.54,10,5,0
11,4,4,63190.0,22.54,0,22.54,0,0,0
12,54,14,69970.0,0.02,10,0.02,10,5,0
13,7,7,78910.0,3.75,1,3.75,1,0,0
14,11,37,85270.0,34390.67,5,34390.67,5,1,0
15,57,14,86710.0,265.12,10,265.12,10,5,0
16,12,35,87550.0,5911.91,5,5911.91,5,2,0
17,11,37,87910.0,1303.49,5,1303.49,5,4,0
18,60,14,88630.0,1165.06,10,1165.06,10,5,0
19,63,14,90670.0,2431.92,10,2431.92,10,5,0
20,68,14,95590.0,145.86,10,145.86,10,5,0
21,70,14,97630.0,1567.2,10,1567.2,10,5,0
22,71,14,97870.0,1200.35,10,1200.35,10,5,0
23,72,14,98950.0,1501.68,10,1501.68,10,5,0
24,73,14,99730.0,672.49,10,672.49,10,5,0
25,77,14,102850.0,1280.22,10,1280.22,10,5,0
26,78,14,104410.0,1576.06,10,1576.06,10,5,0
27,81,14,107110.0,1196.46,10,1196.46,10,5,0
28,38,35,108970.0,37835.05,5,37835.05,5,3,1
29,83,14,109090.0,316.15,10,316.15,10,5,0
30,88,14,111970.0,496.76,10,496.76,10,5,0
31,86,14,113050.0,2286.92,10,2286.92,10,5,0
32,89,14,114910.0,2281.94,10,2281.94,10,5,0
33,90,14,115030.0,611.44,10,611.44,10,5,0
34,95,14,115750.0,1291.88,10,1291.88,10,5,0
35,0,1,115750.0,346.99,0,346.99,0,1,0
36,25,14,117370.0,2506.0,10,2506.0,10,5,0
37,101,14,120790.0,743.29,10,743.29,10,5,0
38,99,14,122110.0,748.78,10,748.78,10,5,0
39,105,14,122470.0,498.38,10,498.38,10,5,0
40,106,14,122770.0,1679.7,10,1679.7,10,5,0
41,112,14,126130.0,109.77,10,109.77,10,5,0
42,23,14,126250.0,5617.35,10,5617.35,10,5,0
43,46,14,126310.0,4329.07,10,4329.07,10,5,0
44,113,14,130030.0,1703.4,10,1703.4,10,5,0
45,13,13,130510.0,1833.01,10,1833.01,10,1,0
46,13,13,131350.0,172.54,10,172.54,10,5,0
47,115,14,133090.0,837.31,10,837.31,10,5,0
48,118,14,133390.0,982.15,10,982.15,10,5,0
49,10,37,133630.0,8834.93,5,8834.93,5,2,0
50,29,14,133870.0,8770.47,10,8770.47,10,5,0
51,121,14,134230.0,533.15,10,533.15,10,5,0
52,10,37,134710.0,4678.32,5,4678.32,5,1,0
53,40,14,134710.0,2318.65,10,2318.65,10,5,0
54,9,35,135070.0,3079.55,5,3079.55,5,2,0
55,26,14,135910.0,5537.86,10,5537.86,10,5,0
56,125,14,136270.0,253.65,10,253.65,10,5,0
57,124,14,136690.0,327.0,10,327.0,10,5,0
58,132,14,137110.0,833.24,10,833.24,10,5,0
59,51,14,138370.0,2759.0,10,2759.0,10,5,0
60,133,14,139150.0,2019.32,10,2019.32,10,5,0
61,135,14,139330.0,512.46,10,512.46,10,5,0
62,136,14,140530.0,1634.62,10,1634.62,10,5,0
63,2,33,141970.0,167.36,0,167.36,0,1,0
64,50,14,142630.0,547.22,10,547.22,10,5,0
65,43,14,142870.0,5617.85,10,5617.85,10,5,0
66,139,14,145990.0,802.66,10,802.66,10,5,0
67,141,14,146350.0,921.99,10,921.99,10,5,0
68,140,14,146650.0,654.63,10,654.63,10,5,0
69,146,14,147910.0,701.45,10,701.45,10,5,0
70,31,14,148510.0,7482.62,10,7482.62,10,5,0
71,143,14,149290.0,879.7,10,879.7,10,5,0
72,149,14,151570.0,891.63,10,891.63,10,5,0
73,152,14,153190.0,1923.33,10,1923.33,10,5,0
74,15,14,153970.0,618284.8,10,618284.8,10,5,0
75,159,14,159910.0,815.02,10,815.02,10,5,0
76,162,14,160630.0,497.99,10,497.99,10,5,0
77,164,14,160810.0,292.49,10,292.49,10,5,0
78,163,14,161170.0,278.33,10,278.33,10,5,0
79,30,14,162370.0,4219.77,10,4219.77,10,5,0
80,166,14,162370.0,402.58,10,402.58,10,5,0
81,165,14,163210.0,692.84,10,692.84,10,5,0
82,168,14,163810.0,956.19,10,956.19,10,5,0
83,56,14,164650.0,4063.2,10,4063.2,10,5,0
84,172,14,165850.0,1388.04,10,1388.04,10,5,0
85,18,14,166450.0,5587.09,10,5587.09,10,5,0
86,171,14,166990.0,1257.09,10,1257.09,10,5,0
87,173,14,167710.0,130.46,10,130.46,10,5,0
88,174,14,168190.0,188.77,10,188.77,10,5,0
89,177,14,169330.0,343.48,10,343.48,10,5,0
90,47,14,170050.0,11088.24,10,11088.24,10,5,0
91,179,14,170290.0,351.08,10,351.08,10,5,0
92,11,37,200470.0,34390.67,5,34390.67,5,1,0
93,6,34,308590.0,12.05,1,12.05,1,2,0
94,6,38,330250.0,1511.1,1,1511.1,1,1,0
95,14,27,347770.0,15268.81,10,15268.81,10,2,0
96,37,37,362410.0,560.64,5,83.71,0,3,0
97,9,35,366550.0,34847.14,5,34847.14,5,1,0
98,9,35,367090.0,2849.99,5,2849.99,5,4,0
99,42,35,369010.0,19130.86,5,19130.86,5,2,0
100,42,35,369790.0,13374.44,5,13374.44,5,4,0
101,11,37,420430.0,34390.67,5,34390.67,5,1,0
102,6,34,471910.0,183.18,1,183.18,1,1,0
103,6,38,487810.0,177.68,1,177.68,1,2,0
104,9,35,488350.0,2849.99,5,2849.99,5,4,0
105,42,35,490150.0,13374.44,5,13374.44,5,4,0
106,6,34,492250.0,25018.63,1,25018.63,1,2,0
107,8,8,498310.0,919.83,5,137.34,0,3,0
108,11,37,510010.0,25178.83,5,25178.83,5,2,0
109,11,37,510730.0,34390.67,5,34390.67,5,1,0
110,2,33,526390.0,167.36,0,167.36,0,1,0
111,6,34,535690.0,183.18,1,183.18,1,1,0
112,13,13,546250.0,172.54,10,172.54,10,5,0
113,5,4,551110.0,1003.96,0,1003.96,0,5,0
114,42,35,561730.0,13374.44,5,13374.44,5,4,0
115,34,38,573790.0,12428.01,1,12428.01,1,1,0
116,8,8,633010.0,919.83,5,137.34,0,3,0
117,6,34,643990.0,7112.13,1,7112.13,1,5,0
118,11,37,647830.0,1303.49,5,1303.49,5,4,0
119,61,37,649150.0,24655.42,5,24655.42,5,3,1
120,5,4,649930.0,3230.81,0,3230.81,0,1,0
121,13,13,651610.0,172.54,10,172.54,10,5,0
122,14,27,656650.0,161397.54,10,161397.54,10,5,0
123,37,7,679990.0,3081.2,1,3081.2,1,3,1
124,114,14,692050.0,1242.11,10,1242.11,10,5,0
125,11,37,692350.0,1303.49,5,1303.49,5,4,0
126,50,14,692530.0,547.22,10,547.22,10,5,0
127,94,14,693130.0,658.74,10,658.74,10,5,0
128,62,14,694270.0,930.48,10,930.48,10,5,0
129,7,7,694870.0,3130.42,1,3668.17,0,3,0
130,157,14,696610.0,988.95,10,988.95,10,5,0
131,81,14,699010.0,1196.46,10,1196.46,10,5,0
132,113,14,699790.0,1703.4,10,1703.4,10,5,0
133,123,14,701710.0,172.72,10,172.72,10,5,0
134,156,14,702010.0,434.88,10,434.88,10,5,0
135,176,14,702670.0,175.68,10,175.68,10,5,0
136,52,14,703030.0,2894.52,10,2894.52,10,5,0
137,9,35,704050.0,3079.55,5,3079.55,5,2,0
138,170,14,704110.0,789.79,10,789.79,10,5,0
139,119,14,704230.0,2897.66,10,2897.66,10,5,0
140,145,14,704290.0,376.96,10,376.96,10,5,0
141,9,35,705190.0,2849.99,5,2849.99,5,4,0
142,159,14,705490.0,815.02,10,815.02,10,5,0
143,6,38,705490.0,1511.1,1,1511.1,1,1,0
144,122,14,709090.0,1827.6,10,1827.6,10,5,0
145,22,14,709150.0,1401.42,10,1401.42,10,5,0
146,37,37,709750.0,172.65,5,25.78,0,3,0
147,5,4,709930.0,1003.96,0,1003.96,0,5,0
148,40,14,709990.0,2318.65,10,2318.65,10,5,0
149,130,14,713830.0,1719.96,10,1719.96,10,5,0
150,175,14,715930.0,421.62,10,421.62,10,5,0
151,91,14,718090.0,681.79,10,681.79,10,5,0
152,53,14,718390.0,18221.47,10,18221.47,10,5,0
153,134,14,719890.0,756.55,10,756.55,10,5,0
154,100,14,721450.0,1293.97,10,1293.97,10,5,0
155,96,14,723670.0,414.11,10,414.11,10,5,0
156,86,14,725350.0,2286.92,10,2286.92,10,5,0
157,6,34,725470.0,25018.63,1,25018.63,1,2,0
158,42,35,725710.0,19130.86,5,19130.86,5,2,0
159,42,35,726670.0,13374.44,5,13374.44,5,4,0
160,174,14,734950.0,188.77,10,188.77,10,5,0
161,43,14,735910.0,5617.85,10,5617.85,10,5,0
162,28,14,735970.0,15309.38,10,15309.38,10,5,0
163,167,14,737050.0,1951.58,10,1951.58,10,5,0
164,21,14,737170.0,6507.45,10,6507.45,10,5,0
165,64,14,737290.0,1590.01,10,1590.01,10,5,0
166,99,14,737710.0,748.78,10,748.78,10,5,0
167,138,14,738550.0,1657.96,10,1657.96,10,5,0
168,158,14,738790.0,1202.66,10,1202.66,10,5,0
169,98,14,739450.0,1082.47,10,1082.47,10,5,0
170,69,14,741070.0,138.3,10,138.3,10,5,0
171,20,14,742510.0,3059.29,10,3059.29,10,5,0
172,25,14,742870.0,2506.0,10,2506.0,10,5,0
173,74,14,742930.0,901.8,10,901.8,10,5,0
174,154,14,744910.0,1881.13,10,1881.13,10,5,0
